,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross
54,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300.0,The Secret Life of Walter Mitty,Fox,58200000.0,129900000,2013.0,37.0,"Dec 25, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183"
58,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116.0,A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014.0,67.0,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587"
60,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,Jurassic World,Uni.,652300000.0,"1,019.4",2015.0,34.0,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864"
62,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787.0,The Rum Diary,FD,13100000.0,10800000,2011.0,16.0,"Oct 28, 2011",The Rum Diary,"$45,000,000","$13,109,815","$21,544,732"
67,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570.0,The Three Stooges,Fox,44300000.0,10500000,2012.0,4.0,"Apr 13, 2012",The Three Stooges,"$30,000,000","$44,338,224","$54,052,249"
71,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366.0,Tangled,BV,200800000.0,391000000,2010.0,15.0,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240"
73,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,John Carter,BV,73100000.0,211100000,2012.0,14.0,"Mar 9, 2012",John Carter,"$275,000,000","$73,058,679","$282,778,100"
92,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546.0,Dinner for Schmucks,P/DW,73000000.0,13800000,2010.0,51.0,"Jul 30, 2010",Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502"
95,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256.0,The A-Team,Fox,77200000.0,100000000,2010.0,32.0,"Jun 11, 2010",The A-Team,"$110,000,000","$77,222,099","$177,241,171"
97,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649.0,The Possession,LGF,49100000.0,36300000,2012.0,81.0,"Aug 31, 2012",The Possession,"$14,000,000","$49,130,588","$82,925,064"
99,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534.0,Real Steel,BV,85500000.0,213800000,2011.0,31.0,"Oct 7, 2011",Real Steel,"$110,000,000","$85,463,309","$263,880,341"
103,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999.0,The Giver,Wein.,45100000.0,21900000,2014.0,2.0,"Aug 15, 2014",The Giver,"$25,000,000","$45,090,374","$66,540,205"
104,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218.0,Toy Story 3,BV,415000000.0,652000000,2010.0,47.0,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
115,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701.0,Lincoln,BV,182200000.0,93100000,2012.0,73.0,"Nov 9, 2012",Lincoln,"$65,000,000","$182,207,973","$273,346,281"
117,tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",6.8,45181.0,Before We Go,RTWC,37200.0,,2015.0,52.0,"Sep 4, 2015",Before We Go,"$3,000,000","$37,151","$483,938"
126,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355.0,Puss in Boots,P/DW,149300000.0,405700000,2011.0,46.0,"Oct 28, 2011",Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
131,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527.0,Wonder Woman,WB,412600000.0,409300000,2017.0,55.0,"Jun 2, 2017",Wonder Woman,"$150,000,000","$412,563,408","$821,133,378"
136,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836.0,Life of Pi,Fox,125000000.0,484000000,2012.0,88.0,"Nov 21, 2012",Life of Pi,"$120,000,000","$124,987,022","$620,912,003"
138,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465.0,The Crazies,Over.,39100000.0,15700000,2010.0,36.0,"Feb 26, 2010",The Crazies,"$19,000,000","$39,123,589","$56,445,534"
139,tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302.0,The Equalizer,Sony,101500000.0,90800000,2014.0,96.0,"Sep 26, 2014",The Equalizer,"$55,000,000","$101,530,738","$192,903,624"
141,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137.0,Captain America: The First Avenger,Par.,176700000.0,193900000,2011.0,10.0,"Jul 22, 2011",Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
159,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327.0,Piranha 3D,W/Dim.,25000000.0,58200000,2010.0,52.0,"Aug 20, 2010",Piranha 3D,"$24,000,000","$25,003,155","$83,660,160"
165,tt0466893,Margaret,Margaret,2011,150.0,Drama,6.5,14708.0,Margaret,FoxS,46500.0,,2011.0,27.0,"Sep 30, 2011",Margaret,"$14,000,000","$47,185","$623,292"
170,tt0470752,Ex Machina,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542.0,Ex Machina,A24,25400000.0,11400000,2015.0,72.0,"Apr 10, 2015",Ex Machina,"$13,000,000","$25,440,971","$38,358,392"
172,tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102.0,Tower Heist,Uni.,78000000.0,74900000,2011.0,5.0,"Nov 4, 2011",Tower Heist,"$85,000,000","$78,046,570","$150,422,946"
173,tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577.0,The Smurfs,Sony,142600000.0,421100000,2011.0,20.0,"Jul 29, 2011",The Smurfs,"$110,000,000","$142,614,158","$563,749,323"
174,tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254.0,The Mechanic,CBS,29100000.0,47000000,2011.0,42.0,"Jan 28, 2011",The Mechanic,"$42,500,000","$29,121,498","$76,347,393"
